country_code,publication_year,n_articles,n_oa_articles,n_ta_articles
MV,2022,107,44,9
KP,2022,75,20,1
PF,2022,50,24,10
DJ,2022,25,10,1
PG,2022,86,34,3
LR,2022,46,18,2
YT,2022,5,0,0
BZ,2022,13,4,0
AD,2022,17,4,1
TC,2022,4,2,0
WS,2022,23,7,0
BM,2022,14,5,1
DM,2022,16,5,0
VC,2022,8,0,0
SJ,2022,2,1,0
MR,2022,42,11,1
TO,2022,10,3,0
JE,2022,8,5,1
CW,2022,81,19,6
CF,2022,52,11,1
HT,2022,43,15,0
TM,2022,78,8,0
SC,2022,19,9,2
PW,2022,8,2,0
MS,2022,19,3,0
KI,2022,4,2,0
VA,2022,26,3,0
VG,2022,17,1,0
NU,2022,2,0,0
IM,2022,3,0,0
MP,2022,2,1,1
GI,2022,16,4,1
TV,2022,1,0,0
FK,2022,13,5,3
FM,2022,2,0,0
AX,2022,1,0,0
AS,2022,2,1,0
MF,2022,8,2,0
GQ,2022,2,1,0
NA,2021,985475,117029,4
ES,2021,82586,34557,15071
ZA,2021,19843,8381,348
KE,2021,4760,1632,55
ET,2021,8242,4717,79
RU,2021,134428,19901,673
CN,2021,597806,186075,2786
FR,2021,74341,20245,5220
DE,2021,114176,60249,32059
BE,2021,19925,6870,518
US,2021,488878,131702,11503
PL,2021,54217,24947,757
SK,2021,6582,2368,57
CO,2021,17013,3540,85
SA,2021,24499,10643,320
IT,2021,84271,40969,11163
HU,2021,11731,5158,2438
PT,2021,22103,7917,287
NO,2021,14747,9064,2925
RO,2021,13917,5856,66
LT,2021,4096,1619,26
EG,2021,34981,8576,182
JP,2021,108869,36706,411
KR,2021,75230,31931,1130
TH,2021,15466,6024,87
IN,2021,170927,24953,282
NL,2021,38290,23499,15619
DK,2021,16281,6854,2757
FI,2021,12721,7806,5738
CA,2021,74486,22896,3140
BR,2021,141020,22087,397
GB,2021,125051,56094,38372
MY,2021,31067,8693,158
ID,2021,210481,50217,103
SE,2021,23950,16380,5737
GR,2021,14779,5596,173
TR,2021,81273,8842,162
CH,2021,26199,14280,8209
RS,2021,7508,1741,29
MX,2021,29194,7225,176
AU,2021,65946,18995,1146
AT,2021,15006,9066,4301
IE,2021,11158,5071,4980
UZ,2021,4555,527,6
NZ,2021,9984,2751,102
AR,2021,15103,2050,93
IR,2021,61668,13034,230
SS,2021,615,120,66
GM,2021,137,76,9
LU,2021,1053,551,51
CZ,2021,16813,5940,316
BD,2021,11400,3287,84
PK,2021,27604,8855,120
NG,2021,21827,5021,60
JO,2021,4648,1455,20
GH,2021,4502,1636,73
IL,2021,15503,4731,176
IQ,2021,14395,4067,51
TW,2021,28072,13693,66
CL,2021,13690,3317,144
BN,2021,442,139,0
LY,2021,809,226,10
IS,2021,881,321,38
AZ,2021,2080,375,11
MA,2021,8620,1807,55
AD,2021,7,3,1
SI,2021,5072,2214,104
HR,2021,6878,1914,19
CY,2021,2700,779,31
HK,2021,10957,2854,145
EC,2021,6836,1287,56
QA,2021,3080,1596,524
BS,2021,43,10,1
UA,2021,34132,5161,53
UG,2021,1829,956,30
VN,2021,11408,2938,59
NP,2021,5158,1064,24
TN,2021,6988,1506,60
UY,2021,1959,347,17
YE,2021,1088,356,6
TG,2021,345,78,1
LB,2021,2801,819,44
DZ,2021,7648,1092,41
EE,2021,2078,768,61
MC,2021,95,31,2
GN,2021,124,32,1
PE,2021,8787,1247,26
BY,2021,3479,483,25
ZM,2021,676,219,6
PR,2021,1000,259,1
SY,2021,714,230,5
XK,2021,522,128,1
SG,2021,12464,3470,111
BA,2021,1716,264,1
BG,2021,4699,1114,29
TJ,2021,1888,233,0
BO,2021,793,131,7
AE,2021,5204,1884,49
LK,2021,3837,1029,17
MW,2021,478,244,21
CD,2021,588,195,1
MO,2021,1881,512,9
MM,2021,419,131,4
ME,2021,439,129,0
PS,2021,961,314,4
KZ,2021,5258,1112,18
KW,2021,1636,562,11
PH,2021,5103,1131,11
OM,2021,1900,435,15
LV,2021,2246,640,15
BT,2021,178,51,3
TZ,2021,2020,772,43
KH,2021,751,156,6
BI,2021,228,38,6
CM,2021,2661,698,30
AG,2021,311,30,0
SD,2021,1349,359,10
AM,2021,1427,207,11
BW,2021,484,144,7
VE,2021,1508,256,6
AL,2021,697,138,3
CI,2021,837,166,11
MK,2021,1024,146,5
CR,2021,2258,298,15
ZW,2021,1087,374,16
ML,2021,335,76,2
NC,2021,73,42,7
CG,2021,248,52,5
MZ,2021,1177,178,7
PY,2021,863,100,1
KG,2021,1331,107,1
CU,2021,1434,234,6
SO,2021,78,26,0
PG,2021,90,24,1
RE,2021,182,78,14
MN,2021,852,243,9
AF,2021,459,128,1
DO,2021,331,73,2
LA,2021,127,51,1
PA,2021,689,170,15
VU,2021,11,3,0
BJ,2021,831,234,7
MU,2021,230,31,2
GL,2021,43,28,8
SN,2021,816,190,7
MT,2021,649,215,15
MG,2021,228,93,5
NE,2021,147,35,1
SV,2021,297,20,2
NA,2021,289,67,4
MD,2021,997,254,6
JM,2021,224,76,2
GE,2021,1049,135,3
HN,2021,302,57,3
JE,2021,11,5,4
GD,2021,167,49,1
NI,2021,477,38,0
AO,2021,274,27,2
