publication_year,country_code,n_articles,n_oa_articles,n_ta_articles,prop_other_oa,prop_ta_articles,country_name
2024,CA,63632,30321,10888,0.3053966557706814,0.17110887603721397,Canada
2024,FR,60342,23352,9896,0.22299559179344403,0.1639985416459514,France
2024,AU,54073,31361,16847,0.2684149205703401,0.3115602981155105,Australia
2024,TR,80117,20942,4431,0.20608609908009537,0.055306614076912515,Turkey
2024,PL,47753,20929,2957,0.3763533181161393,0.061922811132284886,Poland
2024,IR,52566,18880,192,0.3555149716546817,0.0036525510786439906,Iran
2024,NL,33135,22516,13385,0.27556963935415724,0.40395352346461444,Netherlands
2024,SE,21056,15697,11278,0.20986892097264437,0.5356193009118541,Sweden
2023,CN,744593,263356,2013,0.3509877208085491,0.0027034903631917035,China
2023,US,461781,156168,14013,0.30784072969654447,0.03034555341168216,United States
2023,ID,350558,87425,194,0.24883471494018108,5.534034311012728e-4,Indonesia
2023,IN,203437,38352,332,0.186888324149491,0.001631954855803025,India
2023,GB,113890,67295,38522,0.2526385108437966,0.3382386513302309,United Kingdom
2023,DE,103829,58838,29574,0.281848038601932,0.2848337169769525,Germany
2023,BR,129937,24749,366,0.1876524777392121,0.0028167496556023306,Brazil
2023,JP,97282,35891,3382,0.33417281717069963,0.03476491026089102,Japan
2023,RU,118129,23208,216,0.1946346790373236,0.0018285095107890526,Russia
2023,IT,82056,49315,14565,0.4234912742517305,0.17750073120795554,Italy
2023,ES,79203,37098,12929,0.3051525826041943,0.1632387662083507,Spain
2023,KR,72197,31295,766,0.4228569054115822,0.010609859135421139,South Korea
2023,CA,68859,27598,6017,0.31340855952017893,0.08738146066599864,Canada
2023,FR,67994,21461,4703,0.24646292319910582,0.06916786775303703,France
2023,AU,57603,33138,17860,0.26522924153255906,0.31005329583528635,Australia
2023,TR,89334,16906,1370,0.17390914993171694,0.015335706449951867,Turkey
2023,PL,52885,21806,3441,0.34726292899688005,0.06506570861302827,Poland
2023,IR,56721,18411,153,0.3218913629872534,0.002697413656317766,Iran
2023,NL,36737,24817,14876,0.2705991234994692,0.40493235702425345,Netherlands
2023,SE,22318,16568,11894,0.20942736804373152,0.5329330585177884,Sweden
2022,CN,723576,275742,1516,0.378987141640961,0.002095149645648833,China
2022,US,456778,143346,8663,0.29485439316254286,0.01896544929922194,United States
2022,ID,275685,69198,119,0.25057221103796,4.31652066670294e-4,Indonesia
2022,IN,187124,32079,184,0.17044847267052862,9.833051880036767e-4,India
2022,GB,115459,63253,34071,0.2527477286309426,0.29509176417602784,United Kingdom
2022,DE,107048,59202,26177,0.30850646438980645,0.24453516179657725,Germany
2022,BR,126176,24045,258,0.18852238143545524,0.0020447628709104743,Brazil
2022,JP,102667,37202,494,0.3575442936873582,0.004811672689374385,Japan
2022,RU,123176,20777,202,0.16703740988504254,0.0016399298564655452,Russia
2022,IT,81836,43629,7716,0.4388410968278019,0.09428613324209395,Italy
2022,ES,77282,35225,11014,0.3132812297818379,0.1425170156051862,Spain
2022,KR,72294,32192,636,0.43649542147342796,0.008797410573491576,South Korea
2022,CA,68910,24483,2836,0.3141343781744304,0.04115512987955304,Canada
2022,FR,70331,21317,3357,0.2553639220258492,0.0477314413274374,France
2022,AU,60015,26173,8527,0.2940264933766558,0.14208114638007166,Australia
2022,TR,84444,11627,404,0.13290464686656245,0.004784235706503719,Turkey
2022,PL,50152,22746,2289,0.4078999840484926,0.045641250598181526,Poland
2022,IR,59889,15632,113,0.25912938937033514,0.0018868239576549952,Iran
2022,NL,36756,23958,13013,0.2977745130046795,0.35403743606486016,Netherlands
2022,SE,22531,16091,10790,0.23527584217300607,0.47889574364209314,Sweden
2021,CN,597806,186075,942,0.3096874236792538,0.0015757620365135178,China
2021,US,488878,131702,4550,0.2600894292645609,0.009307025474658299,United States
2021,ID,210481,50217,62,0.2382875413932849,2.9456340477287734e-4,Indonesia
2021,IN,170927,24953,123,0.14526669279868012,7.196054455995835e-4,India
2021,GB,125051,56094,20988,0.2807334607480148,0.16783552310657252,United Kingdom
2021,DE,114176,60249,25749,0.3021650784753363,0.2255202494394619,Germany
2021,BR,141020,22087,195,0.15524039143383916,0.001382782584030634,Brazil
2021,JP,108869,36706,230,0.3350448704406213,0.002112630776437737,Japan
2021,RU,134429,19901,212,0.14646393263358354,0.0015770406683081775,Russia
2021,IT,84271,40969,6155,0.41311957850268777,0.07303817446096522,Italy
2021,ES,82586,34557,6208,0.34326641319351947,0.07517012568716247,Spain
2021,KR,75230,31931,352,0.4197660507776153,0.0046789844476937395,South Korea
2021,CA,74486,22896,1745,0.283959401766775,0.02342722122278012,Canada
2021,FR,74341,20245,1608,0.25069611654403356,0.021630056092869346,France
2021,AU,65946,18995,425,0.28159403148030204,0.006444666848633731,Australia
2021,TR,81273,8842,54,0.10812939106468322,6.644273005795283e-4,Turkey
2021,PL,54217,24947,526,0.45043067672501247,0.009701754062378958,Poland
2021,IR,61668,13034,89,0.20991438022961667,0.0014432120386586235,Iran
2021,NL,38290,23499,11037,0.3254635675110995,0.2882475842256464,Netherlands
2021,SE,23950,16380,4577,0.4928183716075157,0.19110647181628393,Sweden
2020,CN,528896,147369,614,0.27747421043078413,0.0011609087608906098,China
2020,US,499629,111713,1200,0.2211901230713189,0.0024017821223347724,United States
2020,ID,160209,35145,50,0.21905760600215968,3.1209232939472816e-4,Indonesia
2020,IN,159913,18691,63,0.11648834053516599,3.939642180435612e-4,India
2020,GB,126943,48134,13480,0.27298866420361895,0.10618939208936294,United Kingdom
2020,DE,109458,49095,20878,0.25778837544994426,0.19073982714831259,Germany
2020,BR,144469,20934,112,0.1441278059652936,7.752528224048066e-4,Brazil
2020,JP,108445,30267,135,0.277855133938863,0.0012448706717690995,Japan
2020,RU,117975,15981,97,0.13463869463869463,8.222080949353677e-4,Russia
2020,IT,81583,30856,2949,0.34206881335572364,0.03614723655663557,Italy
2020,ES,80296,23996,304,0.2950582843479127,0.003785991830228156,Spain
2020,KR,72382,26455,29,0.36509076842308863,4.0065209582492887e-4,South Korea
2020,CA,72671,17706,109,0.24214611055304042,0.0014999105557925445,Canada
2020,FR,74690,16984,1234,0.21087160262417995,0.016521622707189716,France
2020,AU,65523,15596,193,0.23507775895487082,0.0029455305770492803,Australia
2020,TR,71348,7034,39,0.0980405897852778,5.46616583506195e-4,Turkey
2020,PL,53092,19429,456,0.35736080765463724,0.008588864612370978,Poland
2020,IR,61120,10175,40,0.16582133507853403,6.544502617801048e-4,Iran
2020,NL,37162,21134,6635,0.39015661159248693,0.17854259727678812,Netherlands
2020,SE,23184,13939,2876,0.4771825396825397,0.12405106970324362,Sweden
2019,CN,463654,117855,100,0.2539717116643014,2.1567807028516955e-4,China
2019,US,456605,88404,187,0.19320200173016064,4.0954435452962627e-4,United States
2019,ID,123349,26265,15,0.21281080511394498,1.216061743508257e-4,Indonesia
2019,IN,129230,13054,16,0.10088988624932291,1.2381026077536175e-4,India
2019,GB,117233,37140,3764,0.28469799459196643,0.03210700058857148,United Kingdom
2019,DE,102137,30489,4821,0.2513095156505478,0.047201308047034866,Germany
2019,BR,117309,18955,24,0.16137721743429745,2.0458788328261258e-4,Brazil
2019,JP,100926,22979,19,0.22749341101401027,1.8825674256385866e-4,Japan
2019,RU,101347,11887,24,0.11705329215467651,2.3681016704983867e-4,Russia
2019,IT,67295,19433,46,0.28808975406790993,6.835574708373579e-4,Italy
2019,ES,69749,17156,35,0.2454658848155529,5.01799308950666e-4,Spain
2019,KR,66606,20716,10,0.3108728943338438,1.501366243281386e-4,South Korea
2019,CA,66656,14028,26,0.21006361017762842,3.900624099855977e-4,Canada
2019,FR,69922,13134,287,0.1837333028231458,0.004104573667801264,France
2019,AU,62020,13064,50,0.20983553692357304,8.061915511125443e-4,Australia
2019,TR,58547,5900,7,0.10065417527798179,1.1956206124993595e-4,Turkey
2019,PL,49163,12958,12,0.2633281126050078,2.44085999633871e-4,Poland
2019,IR,54734,7142,10,0.13030291957467022,1.8270179413161836e-4,Iran
2019,NL,35115,16503,1754,0.4200199345009255,0.049950163747686176,Netherlands
2019,SE,21919,9586,32,0.43587754915826454,0.0014599206168164605,Sweden
2018,CN,395683,89672,11,0.22659805955777731,2.7800031843672838e-5,China
2018,US,443537,80395,36,0.18117766950671535,8.116572010903261e-5,United States
2018,ID,87822,21248,7,0.24186422536494273,7.970667941973537e-5,Indonesia
2018,IN,120811,12506,0,0.10351706384352419,0,India
2018,GB,115692,35496,11,0.30671956574352593,9.508004010648964e-5,United Kingdom
2018,DE,100029,22997,33,0.22957342370712494,3.2990432774495396e-4,Germany
2018,BR,106209,17250,4,0.1623779529041795,3.766159176717604e-5,Brazil
2018,JP,103247,21007,0,0.2034635388921712,0,Japan
2018,RU,81309,7560,2,0.09295403952821951,2.4597523029430935e-5,Russia
2018,IT,63933,15448,5,0.2415497473918008,7.820687281998342e-5,Italy
2018,ES,67083,13472,3,0.2007811218937734,4.4720719109163274e-5,Spain
2018,KR,63906,16820,0,0.26319907363940787,0,South Korea
2018,CA,65570,12931,2,0.1971785877687967,3.0501753850846423e-5,Canada
2018,FR,71306,11556,3,0.16202002636524276,4.207219588814406e-5,France
2018,AU,59754,11444,3,0.19146835358302372,5.0205843960236973e-5,Australia
2018,TR,50019,6622,2,0.1323497071112977,3.998480577380596e-5,Turkey
2018,PL,51365,10892,1,0.21203153898569063,1.9468509685583568e-5,Poland
2018,IR,49130,6023,2,0.12255241196824751,4.0708324852432325e-5,Iran
2018,NL,33966,14270,1713,0.36969322263439913,0.05043278572690337,Netherlands
2018,SE,21396,8160,2,0.38128622172368665,9.347541596560104e-5,Sweden
