cr_publisher,publication_year,journal_business_model,n_articles,n_oa_articles,n_ta_articles
Ovid Technologies (Wolters Kluwer Health),2020,Full OA,11659,9559,98
Ovid Technologies (Wolters Kluwer Health),2019,Hybrid,46236,2596,3
Ovid Technologies (Wolters Kluwer Health),2019,Full OA,10207,8451,33
Ovid Technologies (Wolters Kluwer Health),2018,Hybrid,44494,2296,0
Ovid Technologies (Wolters Kluwer Health),2018,Full OA,9185,7154,0
Oxford University Press (OUP),2025,Hybrid,38629,12077,5706
Oxford University Press (OUP),2025,Full OA,17217,15953,2085
Oxford University Press (OUP),2024,Hybrid,38996,12045,6030
Oxford University Press (OUP),2024,Full OA,20978,19245,2698
Oxford University Press (OUP),2023,Full OA,19715,15096,2375
Oxford University Press (OUP),2023,Hybrid,38568,11174,5193
Oxford University Press (OUP),2022,Hybrid,37321,7617,3315
Oxford University Press (OUP),2022,Full OA,18737,12901,1806
Oxford University Press (OUP),2021,Hybrid,42627,7035,2484
Oxford University Press (OUP),2021,Full OA,18526,12338,1545
Oxford University Press (OUP),2020,Full OA,18490,10831,347
Oxford University Press (OUP),2020,Hybrid,45370,5472,464
Oxford University Press (OUP),2019,Hybrid,40803,3729,53
Oxford University Press (OUP),2019,Full OA,15092,7993,47
Oxford University Press (OUP),2018,Hybrid,40955,3411,0
Oxford University Press (OUP),2018,Full OA,13755,6645,0
IOP Publishing,2025,Hybrid,28484,5708,743
IOP Publishing,2025,Full OA,3452,2595,116
IOP Publishing,2024,Hybrid,33011,10239,1931
IOP Publishing,2024,Full OA,4792,3630,545
IOP Publishing,2023,Hybrid,27182,13033,2586
IOP Publishing,2023,Full OA,3884,3147,763
IOP Publishing,2022,Hybrid,27010,3301,1411
IOP Publishing,2022,Full OA,3687,3061,559
IOP Publishing,2021,Hybrid,47787,2249,670
IOP Publishing,2021,Full OA,4365,3597,192
IOP Publishing,2020,Hybrid,41059,2087,542
IOP Publishing,2020,Full OA,4885,4084,176
IOP Publishing,2019,Full OA,7349,2042,0
IOP Publishing,2019,Hybrid,38308,1298,0
IOP Publishing,2018,Hybrid,29975,1200,0
IOP Publishing,2018,Full OA,4927,1654,0
